project_title,recipients,ad_sector_names,transactions_start_year,total_commitments
Second Education Development Project,Lebanon,"Education, level unspecified|Secondary education|Basic education",2010,40852703.3618
Financial and Private Sector Development -Additional Financing Project,Burundi,Communications|Banking and financial services,2011,8000000.0
Chad Education Sector Reform Project Phase 2,Chad,"Education, level unspecified|Post-secondary education|Secondary education|Basic education",2013,15493707.6128
BJ- Poverty Reduction Support Grant - PRSG 7,Benin,"Agriculture, forestry, fishing|Transport and storage|Government and civil society, general",2011,30000000.0
Niger Additional Financing to the Agro-sylvo-pastoral Exports and Markets Development Project,Niger,Banking and financial services|Agriculture|Industry,2014,13800000.0
Structural Adjustment Credit Project (04),Guinea,"Education, level unspecified|Health|Government and civil society, general",2001,62472221.7266
Second Economic Management and Growth,Zambia,"Banking and financial services|Industry|Transport and storage|Government and civil society, general",2008,10439858.0501
Public Sector Reform Adjustment Loan,Jordan,"Education, level unspecified|Health|Government and civil society, general",2001,149933332.144
Lesotho Integrated Transport Project,Lesotho,"Government and civil society, general|Transport and storage",2006,25805427.1888
Tanzania Seventh Poverty Reduction Support Credit,Tanzania,"Education, level unspecified|Health|Energy generation and supply|Government and civil society, general|Agriculture, forestry, fishing",2009,196643298.88799998
Taiz Municipal Development and Flood Protection Project,Yemen,"Water supply and sanitation|Transport and storage|General environmental protection|Government and civil society, general",2008,20879716.1002
Second APL (APL-B1) West Af. Reg. Fisheries Program (Guinea Bissau),Western Africa,Agriculture,2011,6000000.0
Local Government Support Project,Tanzania,"Water supply and sanitation|Transport and storage|Government and civil society, general",2004,60904232.2527
Poverty Reduction Support Credit (11),Burkina Faso,"Agriculture, forestry, fishing|Industry|Government and civil society, general",2011,125000000.0
Agricultural Technology and Agribusiness Advisory Services,Uganda,Industry|Agriculture,2010,122558110.085
Agricultural Services and Producer Organizations Project,Chad,Industry|Agriculture,2003,24084250.5619
"Rep. of Congo - Water, Electricity & Urban Development SIL (LEN)",Congo,"Water supply and sanitation|Government and civil society, general|Energy generation and supply",2010,26043598.3931
Egypt - Wind Power Development Project,Egypt,Energy generation and supply,2010,71492230.8831
Economic Governance & Institutional Reform,Liberia,"Government and civil society, general",2008,11483843.8551
Health Sector Development Project,Djibouti,Health,2002,18443049.5597
Emergency Demobilization and Reintegration Project,Congo,"Other social infrastructure and services|Government and civil society, general",2001,6247222.17266
Urban Water Project,Ghana,"Water supply and sanitation|Government and civil society, general",2004,120637229.27
East Africa Trade and Transport Facilitation Program (EATTFP) - Additional Financing,Africa,Transport and storage,2011,30000000.0
Additional Financing to Cameroon Health Sector Support Project,Cameroon,"Health|Government and civil society, general",2014,20000000.0
Emergency Crisis Recovery Project,Yemen,"Other social infrastructure and services|Health|Education, level unspecified",2013,103291384.08600001
MA-Regional Potable Water Supply Systems Project,Morocco,Water supply and sanitation,2010,178730577.208
National Rural Infrastructure Project,Guinea,"Industry|Health|Government and civil society, general|Transport and storage|Basic education",2004,35488427.6395
Decentralized Community Driven Services Project,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",2012,45164810.9608
Economic Management Capacity Building Additional Financing,Ghana,"Government and civil society, general",2007,10671402.1512
AFCC2/RI-Regional Rusumo Falls Hydroelectric Project,Eastern Africa,Water supply and sanitation|Other social infrastructure and services,2013,351087414.50699997
Ethiopia Health MDG Support Operation,Ethiopia,Health,2013,103291384.08600001
Second Growth and Competitiveness Grant,Burkina Faso,"Agriculture, forestry, fishing|Banking and financial services|Government and civil society, general|Other social infrastructure and services",2013,72303968.8599
Support for the Social Development Agency Project,Morocco,"Other social infrastructure and services|Banking and financial services|Agriculture|Transport and storage|Education, level unspecified",2002,6147683.18657
Emergency Infrastructure Rehabilitation and Living Conditions Improvement Project,Congo,"Other social infrastructure and services|Health|Transport and storage|Government and civil society, general",2002,49181465.4926
Nigeria Lagos Urban Transport Project 2,Nigeria,Transport and storage,2010,194050340.968
Fourth Poverty Reduction Support Credit,Mozambique,"Agriculture, forestry, fishing|Government and civil society, general|Transport and storage",2008,62639148.3005
Health Sector Support,Kenya,"Health, general|Health",2010,102131758.404
Energy Community of South East Europe APL 3 Project,Turkey,Energy generation and supply,2006,164715492.695
GATEWAY PROJECT,Gambia,"Water supply and sanitation|Communications|Industry|Government and civil society, general|Transport and storage",2002,19672586.197
Poverty Alleviation & Municipal Development Capacity Bldg - Supplemental,Gambia,"Water supply and sanitation|Government and civil society, general|Transport and storage",2005,4534344.42261
GAS SECTOR DEVELOPMENT,Turkey,Mineral resources and mining,2005,368415484.33699995
MA-Inclusive Green Growth DPL,Morocco,"Agriculture, forestry, fishing|Agriculture|Energy generation and supply|Government and civil society, general",2013,309874152.257
Emergency Early Recovery Project,Democratic Republic of Congo,"Other social infrastructure and services|Health|Transport and storage|Government and civil society, general",2001,62472221.7266
Public Resource Management Credit Project,Sao Tome and Principe,"Water supply and sanitation|Agriculture, forestry, fishing|Banking and financial services|Health|Government and civil society, general",2000,9582587.227769999
Federal Government Economic Reform and Governance Project,Nigeria,"Other social infrastructure and services|Government and civil society, general",2004,163961220.636
Skills Development and Youth Employment Project,Mali,Banking and financial services|Basic education|Secondary education,2014,63000000.0
LR-RRSP4 Budget Support,Liberia,"Government and civil society, general",2011,5000000.0
Niger Agro-Pastoral Export and Market Development Project,Niger,Banking and financial services|Agriculture|Industry|Transport and storage,2009,41398589.2396
Energy and Mining Technical Assistance Loan (EMTAL),Algeria,"Government and civil society, general",2001,22489999.8216
Rep of Congo Emergency Recovery and Community Support Project,Congo,"Water supply and sanitation|Education, level unspecified|Health",2003,49372713.651999995
Kenya Health Sector Support Project - Additional Financing,Kenya,"Health, general|Health",2013,42349467.4751
Rwanda Feeder Roads Development Project,Rwanda,"Government and civil society, general|Transport and storage",2014,45000000.0
West Delta Water Conservation and Irrigation Rehabilitation Project,Egypt,"Agriculture, forestry, fishing|Agriculture|Government and civil society, general",2007,154735331.192
Economic Governance Technical Assistance - AF,Comoros,"Communications|Government and civil society, general",2013,3615198.4429900004
National Decentralized Planning and Finance Program,Mozambique,"Government and civil society, general",2010,31048054.5549
Roads and Bridges Management and Maintenance Program - Phase II -1st Additional Financing,Mozambique,Transport and storage,2011,41000000.0
Transport Sector Project (APL-Phase 2),Tunisia,"Transport and storage|Government and civil society, general",2001,46979110.7384
SENEGAL: TRANSPORT & URBAN MOBILITY PROJECT,Senegal,Transport and storage,2010,56172467.1224
LEGAL AND JUDICIAL DEVELOPMENT,Morocco,"Government and civil society, general",2000,6771694.97429
IR-Ahwaz & Shiraz Water Supply and Sanitation Project,Iran,Water supply and sanitation,2004,326774630.74
Fiscal Management and Accelerating Growth Program,Malawi,"Communications|Industry|Agriculture|Government and civil society, general|Energy generation and supply",2004,58561761.7814
Second Education Sector Development Project (Phase 2),Lesotho,"Post-secondary education|Basic education|Government and civil society, general|Secondary education",2003,25288463.09
